batch,car,nodes,length_m,travel_time,rho_mean,speed_kph,start_x,start_y,goal_x,goal_y
25,1,5,410.5,61.39,1.425,24.1,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
25,2,5,410.5,76.73,1.425,19.3,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
25,3,5,410.5,95.83,1.425,15.4,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
25,4,2,60.1,4.55,0.751,47.6,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
25,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
25,6,8,717.7,67.21,0.557,38.4,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
25,7,4,358.2,103.54,1.626,12.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
25,8,2,60.1,5.45,0.751,39.7,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
26,0,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
26,1,2,60.1,4.7,0.617,46.0,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
26,2,4,358.2,62.07,1.365,20.8,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
26,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
26,4,5,88.6,11.1,0.207,28.7,489603.47737474774,5511951.632139955,489611.11977763043,5512015.712892384
26,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
26,6,4,358.2,77.83,1.365,16.6,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
26,7,8,717.7,65.19,0.535,39.6,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
26,8,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
27,0,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
27,1,2,60.1,4.35,0.537,49.8,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
